"Domain","Last Successful Crawl","Status"
"vietnamnet.vn","2017/03/15","OK"
"dantri.com.vn","2017/03/15","OK"
"danviet.vn","2017/03/15","OK"
"kenh14.vn","2017/03/15","OK"
"vnexpress.net","2017/03/15","OK"
"plo.vn","2017/03/15","OK"
"vietbao.vn","2017/03/15","OK"
"vietnamplus.vn","2017/03/15","OK"
"vov.vn","2017/03/15","OK"
"vtv.vn","2017/03/15","OK"
"thanhnien.vn","2017/03/15","OK"
"tienphong.vn","2017/03/15","OK"
"baotintuc.vn","2017/03/21","OK"
"thethaovanhoa.vn","2017/03/21","OK"
"giadinh.net.vn","2017/03/21","OK"
"kienthuc.net.vn","2017/03/27","OK"
